"18","7&0.07","2&0.02","14&0.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","0","8&554.00","1&89.00","24&994.28","10&1259.00","45&5400.00","32&2739.60","60&5943.40","60&8753.70","31&3170.10","25&2141.60","40&3121.30","34&3465.50","5&406.80","0","0","0","0","0","0"
"22","1&0.03","3&0.03","19&0.19","22&178.35","8&427.04","5&0.05","0","1&0.01","0","0","2&79.91","3&269.70","3&129.82","0","2&0.02","1&75.00","3&69.91","9&637.20","33&2857.50","10&362.65"
"28","0","0","0","0","0","4&359.00","2&149.80","0","0","0","15&1178.90","3&296.90","0","3&246.00","7&575.70","13&1057.30","9&1372.00","5&443.40","11&1193.30","9&862.10"
"34","0","0","0","0","9&895.00","11&754.00","8&726.70","2&267.00","8&2921.71","0","0","1&80.00","0","0","0","3&225.00","0","0","0","0"
"51","1&0.01","0","0","0","0","0","0","1&89.90","5&361.80","2&241.00","0","3&208.00","1&49.90","0","4&337.70","2&98.00","2&335.80","2&111.00","6&706.90","1&59.90"
"59","0","0","0","7&572.00","23&3070.00","90&11419.00","82&10716.40","133&14220.10","98&8822.22","108&10267.80","118&13638.20","111&11623.30","70&9098.90","118&14089.80","174&18423.30","170&18511.10","211&23744.50","330&32877.50","233&23227.80","314&31855.70"
"62","0","0","0","0","3&353.00","26&2961.00","6&688.30","10&1070.70","7&556.90","3&297.00","4&179.71","0","28&15120.00","1&89.00","10&892.90","9&1086.60","5&391.91","9&945.70","1&64.90","4&338.90"
"70","0","0","0","1&89.00","0","0","0","1&0.01","3&246.90","0","1&118.00","0","1&69.90","0","0","0","0","4&263.80","11&899.70","3&213.90"
"76","0","2&0.02","7&1.18","18&0.43","6&1.10","14&152.12","7&44.03","18&30.24","1&0.01","0","0","10&0.20","18&40.25","0","3&0.04","0","0","0","0","0"
"83","0","1&10.00","0","14&1770.00","2&184.00","9&573.00","15&1385.70","10&923.90","10&1104.90","11&794.80","5&475.20","6&654.00","25&2821.50","6&587.80","28&2407.00","27&1895.30","82&6722.50","6&437.60","22&1972.10","28&2340.10"
"158","0","0","0","0","0","0","11&1267.90","5&183.02","3&287.00","1&89.00","3&317.00","1&79.90","1&0.02","0","2&308.80","3&69.92","2&0.02","8&322.43","9&517.74","5&334.70"
"160","0","0","0","0","0","0","0","0","0","1&99.00","0","0","0","0","0","0","4&405.00","8&567.60","4&354.30","13&473.20"
"165","0","0","0","0","0","12&0.14","77&278.85","126&6.66","181&53.48","154&1.87","262&21.69","210&12.94","260&49.81","105&32.89","8&0.08","2&10.02","1&0.01","2&0.02","7&0.07","0"
"237","0","20&1680.00","0","225&20170.00","17&2002.00","173&15658.00","346&29283.50","636&58331.10","1023&101903.80","720&60796.40","1373&131577.60","1552&151745.70","970&101959.50","1072&110752.70","2161&201019.40","2072&205653.60","2503&248057.70","2566&254238.10","2105&194913.90","2479&222628.60"
"248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10&933.40","8&626.50","2&238.00","0","3&302.90"
"261","0","0","0","0","0","0","9&721.00","44&5073.30","18&1964.50","8&630.70","4&395.00","19&1208.70","17&1814.80","9&762.50","62&5067.50","109&9678.70","49&4791.20","66&6354.40","32&3531.30","42&4205.90"
"264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4&518.00","4&395.00","1&60.00","1&58.80"
